date,unemployment_rate_sa
2016-07-01,3.3101297
2016-08-01,3.33562064
2016-09-01,3.33789685
2016-10-01,3.32588283
2016-11-01,3.32260019
2016-12-01,3.32001761
2017-01-01,3.22151264
2017-02-01,3.19022077
2017-03-01,3.17481953
2017-04-01,3.13520157
2017-05-01,3.11568078
2017-06-01,3.08619906
2017-07-01,3.0827043
2017-08-01,3.06690193
2017-09-01,3.01969653
2017-10-01,3.00763592
2017-11-01,2.96528481
2017-12-01,2.96175076
2018-01-01,2.92177991
2018-02-01,2.87375188
2018-03-01,2.71975889
2018-04-01,2.56558771
2018-05-01,2.4370169
2018-06-01,2.46061854
2018-07-01,2.43975927
2018-08-01,2.43974369
2018-09-01,2.41713637
2018-10-01,2.39564362
2018-11-01,2.38762938
2018-12-01,2.41798005
2019-01-01,2.42911137
2019-02-01,2.38668148
2019-03-01,2.34374302
2019-04-01,2.29686761
2019-05-01,2.25590425
2019-06-01,2.24261201
2019-07-01,2.24302337
2019-08-01,2.25003801
2019-09-01,2.24730635
2019-10-01,2.27105277
2019-11-01,2.30007994
2019-12-01,2.3717836
2020-01-01,2.39320418
2020-02-01,2.37535639
2020-03-01,2.85490532
2020-04-01,3.3105713
2020-05-01,3.49752898
2020-06-01,3.49306881
2020-07-01,3.44807281
2020-08-01,3.44219214
2020-09-01,3.39657466
2020-10-01,3.35916825
2020-11-01,3.34528613
2020-12-01,3.33749748
2021-01-01,3.35830571
2021-02-01,3.3867985
2021-03-01,3.32622901
2021-04-01,3.26518499
2021-05-01,3.20471361
2021-06-01,3.06294832
2021-07-01,2.96953159
2021-08-01,2.87707554
2021-09-01,2.74948885
2021-10-01,2.62953209
2021-11-01,2.53777404
2021-12-01,2.48502478
2022-01-01,2.41936798
2022-02-01,2.37915561
2022-03-01,2.30627314
2022-04-01,2.25419398
2022-05-01,2.1971506
2022-06-01,2.14930961
2022-07-01,2.11661349
2022-08-01,2.07979186
2022-09-01,2.04545273
2022-10-01,2.01865727
2022-11-01,1.99382011
2022-12-01,1.97940826
2023-01-01,1.94366763
2023-02-01,1.9354076
2023-03-01,1.90444387
2023-04-01,1.90621717
2023-05-01,1.92475094
2023-06-01,1.92662027
2023-07-01,1.97472654
2023-08-01,1.99325123
2023-09-01,2.02164161
2023-10-01,2.05298837
2023-11-01,2.08525842
2023-12-01,2.1268359
2024-01-01,2.18327705
2024-02-01,2.19990555
2024-03-01,2.23009509
2024-04-01,2.25290941
2024-05-01,2.30505632
2024-06-01,2.36578536
2024-07-01,2.4273409
2024-08-01,2.46876632
2024-09-01,2.51979218
2024-10-01,2.55451001
2024-11-01,2.57670509
2024-12-01,2.59373964
2025-01-01,2.61999759
2025-02-01,2.66401119
2025-03-01,2.72293076
2025-04-01,2.74119061
2025-05-01,2.79656359
2025-06-01,2.87133134
2025-07-01,2.90973647
2025-08-01,2.92824207
2025-09-01,2.96384139
2025-10-01,2.96566719
2025-11-01,2.95413148
2025-12-01,2.9664334
2026-01-01,2.93906374
2026-02-01,2.97188377
2026-03-01,3.00438175
2026-04-01,3.01141579
2026-05-01,3.06624324
2026-06-01,3.11718131
2026-07-01,3.13751736
