date,gdp_nom_csa,gdp_nom_cssa,gdp_nom_nasa,gdp_real_csa,gdp_real_cssa,gdp_real_nasa
2007-07-01,151060.776376391,151181.35024371,150221.750247027,150105.155940182,150224.95102372,149313.046880795
2007-10-01,152814.973224681,152940.438360437,155328.699104546,150969.004654357,151092.885945776,153892.20967024
2008-01-01,154354.639175361,154395.835751161,152320.252599444,151947.816370273,151988.249136826,149488.493893044
2008-04-01,156571.918539273,156413.436417143,156475.067662371,153627.637414276,153471.987695077,153522.595501428
2008-07-01,157221.642603003,156862.547993615,156300.407603627,154519.452449285,154166.386463957,153701.401146569
2008-10-01,154089.358555394,154040.360392976,156840.737211078,150995.081470349,150946.960934517,154049.416956934
2009-01-01,151738.607736578,151913.772242099,150171.028208321,148568.081349288,148739.542767959,146513.359443746
2009-04-01,152236.360024135,152412.663554934,151884.241706639,149034.007101121,149206.599694495,148757.728748487
2009-07-01,153912.142747589,154088.507919368,153748.81206664,150328.518374499,150500.795074928,150283.841628499
2009-10-01,155112.381854675,155287.7263532,158217.061062738,151228.492804753,151399.463814761,154582.888046867
2010-01-01,157047.362465162,156904.855805529,155000.859179137,153057.077727815,152918.186269434,150796.116463382
2010-04-01,158560.475186817,158016.596041401,157866.668415184,154252.87097601,153723.752482883,153536.376885597
2010-07-01,159300.675827921,159025.013920564,158358.239078778,155027.989304789,154759.710634882,154292.875671684
2010-10-01,160721.894409158,160715.923510895,163978.234699641,156171.358864815,156165.565176859,159429.046124344
2011-01-01,161138.651009549,161371.14146134,159826.896075901,156256.348729321,156481.836198901,154627.205638232
2011-04-01,162011.351022999,162246.792389673,162108.632155396,157507.936340359,157736.870270408,157472.936329002
2011-07-01,161029.929997144,161267.241865191,160387.168670104,156707.274790546,156938.211528967,156140.363986272
2011-10-01,161491.749786833,161729.85526333,164432.910296435,157142.671764837,157374.280918387,160386.179446557
2012-01-01,162612.368360574,162642.872789726,161079.706018191,157810.589658089,157839.9917105,155760.413734556
2012-04-01,163006.09162782,162796.246417083,162642.087478373,158180.358001695,157976.460280331,157705.085373592
2012-07-01,164514.460772271,164064.021759492,162632.081263704,159525.680662521,159088.624468181,157973.457884601
2012-10-01,164609.17727339,164518.324941036,167319.117068511,159637.05972345,159548.718438711,162627.310065763
2013-01-01,165115.823921882,165289.579044227,162736.646182477,160224.721914611,160393.195119444,157661.607013357
2013-04-01,166392.630513985,166567.755952544,166701.428011769,161348.026146574,161517.801012595,161388.952669842
2013-07-01,167377.750868502,167556.145530566,166646.53204045,162464.342953441,162637.549698104,161827.980689782
2013-10-01,167753.679138023,167937.219574961,170836.65356252,162854.021989368,163032.335801364,166232.350016616
2014-01-01,168631.646758509,168514.612703788,166351.857663625,163906.900220584,163793.360334227,161305.039307836
2014-04-01,169917.757457462,169406.120974311,169048.185464397,165377.64698812,164879.928711737,164475.251060719
2014-07-01,170186.724081921,169951.025262685,169219.97479412,166367.439751112,166137.261356355,165238.96260208
2014-10-01,170282.729043862,170323.545479457,173578.378368144,167250.417634108,167290.669722024,171041.948871081
2015-01-01,169589.24049041,169856.69732609,167605.687836027,166950.761646018,167214.097936368,164673.929710155
2015-04-01,169250.581472658,169527.424067123,169430.667793467,167220.435781371,167493.93301796,167298.336680266
2015-07-01,169881.475563292,170167.86340609,169609.259975457,168380.512491525,168664.336343476,167918.703621472
2015-10-01,170574.856612608,170870.917609264,174113.872350532,169630.183039812,169924.619754245,173727.864473326
2016-01-01,171200.492166898,171219.289105289,168920.027751412,170470.533394979,170489.373353801,168083.499648244
2016-04-01,172201.337417503,171893.837467331,172445.064906671,171283.353036986,170977.67772724,171247.531782552
2016-07-01,172811.498093231,172179.181643018,171242.251228646,172007.487409557,171378.312281796,170270.248999997
2016-10-01,172130.685133293,172018.918896445,174764.059699398,171560.087355184,171448.858064538,174730.870963017
2017-01-01,171724.48822995,171946.14376017,170579.600792404,171668.850504004,171890.520716294,170086.702574809
2017-04-01,172809.562067579,173043.758148371,172339.701323612,173069.51306916,173304.085184347,172931.11367204
2017-07-01,174577.832496193,174821.633882499,173884.333335955,174418.528269159,174662.085724644,173459.098593127
2017-10-01,176953.26647534,177203.727914617,179989.128813049,176172.677747834,176421.985435405,179565.934731087
2018-01-01,178887.250112846,178726.503240703,176506.477541564,178409.998806368,178249.622833449,175819.120316179
2018-04-01,182234.417790806,181471.528317942,181461.923621145,180340.037738276,179585.017623939,179618.189139585
2018-07-01,181737.197168559,181375.913908193,179918.498001158,179696.466347786,179339.182539901,177961.626651308
2018-10-01,181992.891195688,182030.278237608,185248.813163835,180243.081103402,180280.060441052,183588.03837655
2019-01-01,182301.706998529,182530.022475243,180563.723533351,180398.153955501,180624.052695216,178279.402728895
2019-04-01,183293.101862135,183517.482109029,182941.369100014,181602.958140658,181825.251451664,181337.625958388
2019-07-01,183415.842404751,183638.350245391,182490.165971093,182148.208302245,182369.174588578,181301.478268534
